Source,Target,Type,Label,Weight
Method:kimera-vio,Dataset:euroc,Directed,method_uses_dataset,0.9
Repo:mp3guy/Kintinuous,Method:kintinuous,Directed,repo_implements_method,1.0
Repo:engcang/SLAM-application,Method:lego-loam,Directed,repo_implements_method,1.0
Repo:engcang/SLAM-application,Method:fast-lio2,Directed,repo_implements_method,1.0
Repo:engcang/SLAM-application,Method:r3live,Directed,repo_implements_method,1.0
Repo:engcang/SLAM-application,Method:locus,Directed,repo_implements_method,1.0
Repo:engcang/SLAM-application,Method:slict,Directed,repo_implements_method,1.0
Repo:engcang/SLAM-application,Method:sr-lio,Directed,repo_implements_method,1.0
Repo:MIT-SPARK/VGGT-SLAM,Method:vggt-slam,Directed,repo_implements_method,1.0
Repo:pamela-project/slambench,Method:openvins,Directed,repo_implements_method,0.95
Repo:pamela-project/slambench,Method:bundlefusion,Directed,repo_implements_method,0.95
Repo:pamela-project/slambench,Method:semanticfusion,Directed,repo_implements_method,0.95
Repo:Yixin-F/better_fastlio2,Method:fast-lio2,Directed,repo_implements_method,0.9
Repo:YWL0720/YOLO_ORB_SLAM3,Method:yolov5,Directed,repo_implements_method,1.0
Repo:PRBonn/PIN_SLAM,Method:pin-slam,Directed,repo_implements_method,1.0
Repo:gisbi-kim/PyICP-SLAM,Method:minisam,Directed,repo_implements_method,0.9
Repo:yanmin-wu/EAO-SLAM,Method:eao-slam,Directed,repo_implements_method,1.0
Repo:YWL0720/YOLO_ORB_SLAM3_with_pointcloud_map,Method:yolo_orb_slam3_with_pointcloud_map,Directed,repo_implements_method,1.0
Repo:varyshare/easy_slam_tutorial,Method:Otsu二值化算法,Directed,repo_implements_method,0.95
Repo:varyshare/easy_slam_tutorial,Method:快速连通域标记算法,Directed,repo_implements_method,0.95
Repo:varyshare/easy_slam_tutorial,Method:ransac,Directed,repo_implements_method,0.95
Repo:PRBonn/kiss-slam,Method:kiss-slam,Directed,repo_implements_method,1.0
