6041
5314	142	3
5390	140	3
5018	2945	3
2945	15	0
5321	2132	3
5163	403	3
5419	264	3
5088	3173	3
5088	3205	3
3173	9	0
3173	15	0
5350	2292	3
5032	1552	3
1552	9	0
5283	1558	3
5401	2875	3
5188	1602	3
5188	1648	3
5188	1691	3
5188	998	3
5188	3222	3
5188	2446	3
5188	2275	3
5188	1559	3
5188	769	3
5188	768	3
5188	178	3
5188	2780	3
5188	1434	3
5188	1694	3
5188	1668	3
5188	2785	3
5188	1178	3
5188	1419	3
5188	2867	3
5188	1656	3
5188	1661	3
5033	3169	3
5033	3170	3
5033	3171	3
5197	2702	3
864	16	0
864	15	0
5402	2876	3
5315	1549	3
5315	2133	3
5315	2508	3
5315	2122	3
5315	2937	3
5315	375	3
5315	2709	3
5315	2131	3
5315	814	3
5315	1453	3
5315	1683	3
5315	1829	3
5315	2091	3
5315	2957	3
5288	2131	3
5288	2115	3
5121	1006	3
5121	998	3
5121	3267	3
